name,original_image,original_mask,folder,remove_image,inpaint_image,inpaint_mask,inpaint_background,alignment_score,prediction_score,priority
case_M_20190115123306_0U62368011540606_1_002_001-1_a1_ayy_image0021,/home/user01/majiajian/data/polyp/SUN-SEG_10/TrainDataset_10/images/case85_1/case_M_20190115123306_0U62368011540606_1_002_001-1_a1_ayy_image0021.jpg,/home/user01/majiajian/data/polyp/SUN-SEG_10/TrainDataset_10/masks/case85_1/case_M_20190115123306_0U62368011540606_1_002_001-1_a1_ayy_image0021.png,case85_1,/home/user01/majiajian/data/polyp/SUN-SEG_10/SUN-SEG_10_remove/remove/images/case_M_20190115123306_0U62368011540606_1_002_001-1_a1_ayy_image0021.png,/home/user01/majiajian/data/polyp/SUN-SEG_10/multiple_controlnet_inpaint/images/1/case_M_20190115123306_0U62368011540606_1_002_001-1_a1_ayy_image0021.png,/home/user01/majiajian/data/polyp/SUN-SEG_10/multiple_controlnet_inpaint/refined_masks/1/case_M_20190115123306_0U62368011540606_1_002_001-1_a1_ayy_image0021.png,/home/user01/majiajian/data/polyp/SUN-SEG_10/multiple_controlnet_inpaint/background/1/case_M_20190115123306_0U62368011540606_1_002_001-1_a1_ayy_image0021&0_11_frame_2675.jpg,0.7903,0.0035,85.0
case_M_20190115123306_0U62368011540606_1_002_001-1_a1_ayy_image0041,/home/user01/majiajian/data/polyp/SUN-SEG_10/TrainDataset_10/images/case85_1/case_M_20190115123306_0U62368011540606_1_002_001-1_a1_ayy_image0041.jpg,/home/user01/majiajian/data/polyp/SUN-SEG_10/TrainDataset_10/masks/case85_1/case_M_20190115123306_0U62368011540606_1_002_001-1_a1_ayy_image0041.png,case85_1,/home/user01/majiajian/data/polyp/SUN-SEG_10/SUN-SEG_10_remove/remove/images/case_M_20190115123306_0U62368011540606_1_002_001-1_a1_ayy_image0041.png,/home/user01/majiajian/data/polyp/SUN-SEG_10/multiple_controlnet_inpaint/images/1/case_M_20190115123306_0U62368011540606_1_002_001-1_a1_ayy_image0041.png,/home/user01/majiajian/data/polyp/SUN-SEG_10/multiple_controlnet_inpaint/refined_masks/1/case_M_20190115123306_0U62368011540606_1_002_001-1_a1_ayy_image0041.png,/home/user01/majiajian/data/polyp/SUN-SEG_10/multiple_controlnet_inpaint/background/1/case_M_20190115123306_0U62368011540606_1_002_001-1_a1_ayy_image0041&0_2_frame_275.jpg,0.7764,0.7093,4.0
case_M_20190115123306_0U62368011540606_1_002_001-1_a1_ayy_image0051,/home/user01/majiajian/data/polyp/SUN-SEG_10/TrainDataset_10/images/case85_1/case_M_20190115123306_0U62368011540606_1_002_001-1_a1_ayy_image0051.jpg,/home/user01/majiajian/data/polyp/SUN-SEG_10/TrainDataset_10/masks/case85_1/case_M_20190115123306_0U62368011540606_1_002_001-1_a1_ayy_image0051.png,case85_1,/home/user01/majiajian/data/polyp/SUN-SEG_10/SUN-SEG_10_remove/remove/images/case_M_20190115123306_0U62368011540606_1_002_001-1_a1_ayy_image0051.png,/home/user01/majiajian/data/polyp/SUN-SEG_10/multiple_controlnet_inpaint/images/1/case_M_20190115123306_0U62368011540606_1_002_001-1_a1_ayy_image0051.png,/home/user01/majiajian/data/polyp/SUN-SEG_10/multiple_controlnet_inpaint/refined_masks/1/case_M_20190115123306_0U62368011540606_1_002_001-1_a1_ayy_image0051.png,/home/user01/majiajian/data/polyp/SUN-SEG_10/multiple_controlnet_inpaint/background/1/case_M_20190115123306_0U62368011540606_1_002_001-1_a1_ayy_image0051&case_M_20181024134247_0U62368102492146_1_002_001-1_Negative_ayy_image003505.jpg,0.9262,0.8919,1038.0
case_M_20190115123306_0U62368011540606_1_002_001-1_a3_ayy_image0056,/home/user01/majiajian/data/polyp/SUN-SEG_10/TrainDataset_10/images/case85_1/case_M_20190115123306_0U62368011540606_1_002_001-1_a3_ayy_image0056.jpg,/home/user01/majiajian/data/polyp/SUN-SEG_10/TrainDataset_10/masks/case85_1/case_M_20190115123306_0U62368011540606_1_002_001-1_a3_ayy_image0056.png,case85_1,/home/user01/majiajian/data/polyp/SUN-SEG_10/SUN-SEG_10_remove/remove/images/case_M_20190115123306_0U62368011540606_1_002_001-1_a3_ayy_image0056.png,/home/user01/majiajian/data/polyp/SUN-SEG_10/multiple_controlnet_inpaint/images/1/case_M_20190115123306_0U62368011540606_1_002_001-1_a3_ayy_image0056.png,/home/user01/majiajian/data/polyp/SUN-SEG_10/multiple_controlnet_inpaint/refined_masks/1/case_M_20190115123306_0U62368011540606_1_002_001-1_a3_ayy_image0056.png,/home/user01/majiajian/data/polyp/SUN-SEG_10/multiple_controlnet_inpaint/background/1/case_M_20190115123306_0U62368011540606_1_002_001-1_a3_ayy_image0056&0_1_frame_5000.jpg,0.7026,0.0003,7.0
case_M_20190115123306_0U62368011540606_1_002_001-1_a3_ayy_image0026,/home/user01/majiajian/data/polyp/SUN-SEG_10/TrainDataset_10/images/case85_1/case_M_20190115123306_0U62368011540606_1_002_001-1_a3_ayy_image0026.jpg,/home/user01/majiajian/data/polyp/SUN-SEG_10/TrainDataset_10/masks/case85_1/case_M_20190115123306_0U62368011540606_1_002_001-1_a3_ayy_image0026.png,case85_1,/home/user01/majiajian/data/polyp/SUN-SEG_10/SUN-SEG_10_remove/remove/images/case_M_20190115123306_0U62368011540606_1_002_001-1_a3_ayy_image0026.png,/home/user01/majiajian/data/polyp/SUN-SEG_10/multiple_controlnet_inpaint/images/1/case_M_20190115123306_0U62368011540606_1_002_001-1_a3_ayy_image0026.png,/home/user01/majiajian/data/polyp/SUN-SEG_10/multiple_controlnet_inpaint/refined_masks/1/case_M_20190115123306_0U62368011540606_1_002_001-1_a3_ayy_image0026.png,/home/user01/majiajian/data/polyp/SUN-SEG_10/multiple_controlnet_inpaint/background/1/case_M_20190115123306_0U62368011540606_1_002_001-1_a3_ayy_image0026&0_16_frame_6400.jpg,0.8968,0.0001,398.0
case_M_20190115123306_0U62368011540606_1_002_001-1_a3_ayy_image0046,/home/user01/majiajian/data/polyp/SUN-SEG_10/TrainDataset_10/images/case85_1/case_M_20190115123306_0U62368011540606_1_002_001-1_a3_ayy_image0046.jpg,/home/user01/majiajian/data/polyp/SUN-SEG_10/TrainDataset_10/masks/case85_1/case_M_20190115123306_0U62368011540606_1_002_001-1_a3_ayy_image0046.png,case85_1,/home/user01/majiajian/data/polyp/SUN-SEG_10/SUN-SEG_10_remove/remove/images/case_M_20190115123306_0U62368011540606_1_002_001-1_a3_ayy_image0046.png,/home/user01/majiajian/data/polyp/SUN-SEG_10/multiple_controlnet_inpaint/images/1/case_M_20190115123306_0U62368011540606_1_002_001-1_a3_ayy_image0046.png,/home/user01/majiajian/data/polyp/SUN-SEG_10/multiple_controlnet_inpaint/refined_masks/1/case_M_20190115123306_0U62368011540606_1_002_001-1_a3_ayy_image0046.png,/home/user01/majiajian/data/polyp/SUN-SEG_10/multiple_controlnet_inpaint/background/1/case_M_20190115123306_0U62368011540606_1_002_001-1_a3_ayy_image0046&case_M_20181211141049_0U62366121115649_1_002_001-1_Negative_ayy_image002951.jpg,0.7694,0.0004,157.0
case_M_20190115123306_0U62368011540606_1_002_001-1_a2_ayy_image0015,/home/user01/majiajian/data/polyp/SUN-SEG_10/TrainDataset_10/images/case85_1/case_M_20190115123306_0U62368011540606_1_002_001-1_a2_ayy_image0015.jpg,/home/user01/majiajian/data/polyp/SUN-SEG_10/TrainDataset_10/masks/case85_1/case_M_20190115123306_0U62368011540606_1_002_001-1_a2_ayy_image0015.png,case85_1,/home/user01/majiajian/data/polyp/SUN-SEG_10/SUN-SEG_10_remove/remove/images/case_M_20190115123306_0U62368011540606_1_002_001-1_a2_ayy_image0015.png,/home/user01/majiajian/data/polyp/SUN-SEG_10/multiple_controlnet_inpaint/images/1/case_M_20190115123306_0U62368011540606_1_002_001-1_a2_ayy_image0015.png,/home/user01/majiajian/data/polyp/SUN-SEG_10/multiple_controlnet_inpaint/refined_masks/1/case_M_20190115123306_0U62368011540606_1_002_001-1_a2_ayy_image0015.png,/home/user01/majiajian/data/polyp/SUN-SEG_10/multiple_controlnet_inpaint/background/1/case_M_20190115123306_0U62368011540606_1_002_001-1_a2_ayy_image0015&case_M_20181219100124_0U62372121976523_1_002_001-1_Negative_2_ayy_image002016.jpg,0.1789,0.0002,247.0
case_M_20190115123306_0U62368011540606_1_002_001-1_a3_ayy_image0066,/home/user01/majiajian/data/polyp/SUN-SEG_10/TrainDataset_10/images/case85_1/case_M_20190115123306_0U62368011540606_1_002_001-1_a3_ayy_image0066.jpg,/home/user01/majiajian/data/polyp/SUN-SEG_10/TrainDataset_10/masks/case85_1/case_M_20190115123306_0U62368011540606_1_002_001-1_a3_ayy_image0066.png,case85_1,/home/user01/majiajian/data/polyp/SUN-SEG_10/SUN-SEG_10_remove/remove/images/case_M_20190115123306_0U62368011540606_1_002_001-1_a3_ayy_image0066.png,/home/user01/majiajian/data/polyp/SUN-SEG_10/multiple_controlnet_inpaint/images/1/case_M_20190115123306_0U62368011540606_1_002_001-1_a3_ayy_image0066.png,/home/user01/majiajian/data/polyp/SUN-SEG_10/multiple_controlnet_inpaint/refined_masks/1/case_M_20190115123306_0U62368011540606_1_002_001-1_a3_ayy_image0066.png,/home/user01/majiajian/data/polyp/SUN-SEG_10/multiple_controlnet_inpaint/background/1/case_M_20190115123306_0U62368011540606_1_002_001-1_a3_ayy_image0066&0_11_frame_3900.jpg,0.8538,0.8365,158.0
case_M_20190115123306_0U62368011540606_1_002_001-1_a1_ayy_image0011,/home/user01/majiajian/data/polyp/SUN-SEG_10/TrainDataset_10/images/case85_1/case_M_20190115123306_0U62368011540606_1_002_001-1_a1_ayy_image0011.jpg,/home/user01/majiajian/data/polyp/SUN-SEG_10/TrainDataset_10/masks/case85_1/case_M_20190115123306_0U62368011540606_1_002_001-1_a1_ayy_image0011.png,case85_1,/home/user01/majiajian/data/polyp/SUN-SEG_10/SUN-SEG_10_remove/remove/images/case_M_20190115123306_0U62368011540606_1_002_001-1_a1_ayy_image0011.png,/home/user01/majiajian/data/polyp/SUN-SEG_10/multiple_controlnet_inpaint/images/1/case_M_20190115123306_0U62368011540606_1_002_001-1_a1_ayy_image0011.png,/home/user01/majiajian/data/polyp/SUN-SEG_10/multiple_controlnet_inpaint/refined_masks/1/case_M_20190115123306_0U62368011540606_1_002_001-1_a1_ayy_image0011.png,/home/user01/majiajian/data/polyp/SUN-SEG_10/multiple_controlnet_inpaint/background/1/case_M_20190115123306_0U62368011540606_1_002_001-1_a1_ayy_image0011&0_16_frame_3700.jpg,0.8839,0.9171,1060.0
case_M_20190115123306_0U62368011540606_1_002_001-1_a3_ayy_image0036,/home/user01/majiajian/data/polyp/SUN-SEG_10/TrainDataset_10/images/case85_1/case_M_20190115123306_0U62368011540606_1_002_001-1_a3_ayy_image0036.jpg,/home/user01/majiajian/data/polyp/SUN-SEG_10/TrainDataset_10/masks/case85_1/case_M_20190115123306_0U62368011540606_1_002_001-1_a3_ayy_image0036.png,case85_1,/home/user01/majiajian/data/polyp/SUN-SEG_10/SUN-SEG_10_remove/remove/images/case_M_20190115123306_0U62368011540606_1_002_001-1_a3_ayy_image0036.png,/home/user01/majiajian/data/polyp/SUN-SEG_10/multiple_controlnet_inpaint/images/1/case_M_20190115123306_0U62368011540606_1_002_001-1_a3_ayy_image0036.png,/home/user01/majiajian/data/polyp/SUN-SEG_10/multiple_controlnet_inpaint/refined_masks/1/case_M_20190115123306_0U62368011540606_1_002_001-1_a3_ayy_image0036.png,/home/user01/majiajian/data/polyp/SUN-SEG_10/multiple_controlnet_inpaint/background/1/case_M_20190115123306_0U62368011540606_1_002_001-1_a3_ayy_image0036&case_M_20181211095338_0U62372121159337_1_008_001-1_Negative_ayy_image005678.jpg,0.861,0.8622,663.0
